Ptrans test,,,,,,,,,
,,,,,,,,,
GIS,TfL,,,,,,,,
,,,,,,,,,
Depot Section,,,,,,,,,
,,,,,,,,,
Depot,SE13 7TW,This is the location from which all vehicles start/finish,,,,,,,
CommenceTime,20140610T090000,This is the start time for all vehicles,,,,,,,
,,,,,,,,,
Customer Section,,,,,,,,,
,Name,Location,Window Start,Window End,Visit length (mins),,,,
Visit,v1,SE23 3NN,20140610T090000,20140610T110000,30,,,,
Visit,v2,SE9 5TG,20140610T090000,20140610T110000,30,,,,
Visit,v3,SE20 8LB,20140610T090000,20140610T110000,30,,,,
Visit,v4,SE1 1GE,20140610T090000,20140610T110000,30,,,,
Visit,v5,SE8 4HZ,20140610T090000,20140610T110000,30,,,,
Visit,v6,SE19 3NF,20140610T090000,20140610T110000,30,,,,
Visit,v7,SE22 8RP,20140610T090000,20140610T110000,30,,,,
Visit,v8,SE16 5QU,20140610T090000,20140610T110000,30,,,,`
Visit,v9,SE19 3DX,20140610T090000,20140610T110000,30,,,,
Visit,v10,SE24 0EF,20140610T090000,20140610T110000,30,,,,
Visit,v11,SE16 6AU,20140610T090000,20140610T110000,30,,,,
Visit,v12,SE9 5DL,20140610T090000,20140610T110000,30,,,,
Visit,v13,SE6 1ES,20140610T090000,20140610T110000,30,,,,
Visit,v14,SE1 4QA,20140610T090000,20140610T110000,30,,,,
Visit,v15,SE15 5SZ,20140610T090000,20140610T110000,30,,,,
Visit,v16,SE22 8AD,20140610T110000,20140610T130000,30,,,,
Visit,v17,SE15 6TE,20140610T110000,20140610T130000,30,,,,
Visit,v18,SE12 9TZ,20140610T110000,20140610T130000,30,,,,
Visit,v19,SE17 3RD,20140610T110000,20140610T130000,30,,,,
Visit,v20,SE25 5PD,20140610T110000,20140610T130000,30,,,,
Visit,v21,SE4 1QR,20140610T110000,20140610T130000,30,,,,
Visit,v22,SE22 8HA,20140610T110000,20140610T130000,30,,,,
Visit,v23,SE14 6EB,20140610T110000,20140610T130000,30,,,,
Visit,v24,SE25 4TY,20140610T110000,20140610T130000,30,,,,
Visit,v25,SE16 7PF,20140610T110000,20140610T130000,30,,,,
Visit,v26,SE12 9ET,20140610T110000,20140610T130000,30,,,,
Visit,v27,SE15 4HA,20140610T110000,20140610T130000,30,,,,
Visit,v28,SE9 5QR,20140610T110000,20140610T130000,30,,,,
Visit,v29,SE9 2LL,20140610T110000,20140610T130000,30,,,,
Visit,v30,SE19 2QJ,20140610T110000,20140610T130000,30,,,,
Visit,v31,SE12 8BP,20140610T130000,20140610T150000,30,,,,
Visit,v32,SE1 2SS,20140610T130000,20140610T150000,30,,,,
Visit,v33,SE2 0EF,20140610T130000,20140610T150000,30,,,,
Visit,v34,SE5 8PF,20140610T130000,20140610T150000,30,,,,
Visit,v35,SE17 1TS,20140610T130000,20140610T150000,30,,,,
Visit,v36,SE26 6HP,20140610T130000,20140610T150000,30,,,,
Visit,v37,SE18 7BZ,20140610T130000,20140610T150000,30,,,,
Visit,v38,SE28 8LW,20140610T130000,20140610T150000,30,,,,
Visit,v39,SE26 6BP,20140610T130000,20140610T150000,30,,,,
Visit,v40,SE12 9QB,20140610T130000,20140610T150000,30,,,,
Visit,v41,SE14 5TJ,20140610T130000,20140610T150000,30,,,,
Visit,v42,SE7 8NE,20140610T130000,20140610T150000,30,,,,
Visit,v43,SE12 8SS,20140610T130000,20140610T150000,30,,,,
Visit,v44,SE23 3NA,20140610T130000,20140610T150000,30,,,,
Visit,v45,SE25 4DQ,20140610T130000,20140610T150000,30,,,,
Visit,v46,SE21 8BX,20140610T150000,20140610T170000,30,,,,
Visit,v47,SE25 4XL,20140610T150000,20140610T170000,30,,,,
Visit,v48,SE3 7DF,20140610T150000,20140610T170000,30,,,,
Visit,v49,SE1 6TJ,20140610T150000,20140610T170000,30,,,,
Visit,v50,SE15 4DA,20140610T150000,20140610T170000,30,,,,
Visit,v51,SE4 1YB,20140610T150000,20140610T170000,30,,,,
Visit,v52,SE12 0JQ,20140610T150000,20140610T170000,30,,,,
Visit,v53,SE11 6PT,20140610T150000,20140610T170000,30,,,,
Visit,v54,SE6 3TJ,20140610T150000,20140610T170000,30,,,,
Visit,v55,W1H 7JB,20140610T150000,20140610T170000,30,,,,
Visit,v56,W3 7TB,20140610T150000,20140610T170000,30,,,,
Visit,v57,W1J 5HQ,20140610T150000,20140610T170000,30,,,,
Visit,v58,W1T 3QG,20140610T150000,20140610T170000,30,,,,
Visit,v59,W1J 8PD,20140610T150000,20140610T170000,30,,,,
Visit,v60,W2 1EB,20140610T150000,20140610T170000,30,,,,
