,Bidder2792(Route 9),,
bid, cost, maxbid,,
14.538478211906668,14.538478211906668,14.549598411906667,
4.64836793446,4.64836793446,10.90100965012,
1.0,3.58393258338,15.673860062373333,
5.459078301953335,5.459078301953335,5.908219873613334,
6.275768228866667,6.275768228866667,12.424333649493335,
13.085145319879997,13.085145319879997,27.82366834,
8.269600009214173E-7,8.269600009214173E-7,21.36664561316,
29.0,17.70266906786667,32.200734187200005,
10.0,0.7176166907266683,30.807281332533336,
29.0,5.98657089932,33.35137658266666,
15.0,0.7262876468999995,31.972651730933332,
1.083157441126664,1.083157441126664,25.981026368266665,
0.17907659511333396,0.17907659511333396,8.234553976173334,
Strategy,
Aim for the blue outlines,
