,Bidder1099,,
bid, cost, maxbid,
8.733385318,8.733385318,8.733385318,
6.717988705,6.717988705,9.405184188,
9.741083624,9.741083624,20.15396612,
8.397485882,8.397485882,12.09237967,
1.343597741,1.343597741,5.374390964,
9.069284752,9.069284752,19.482167246,
10.748781928,10.748781928,12.76417854,
8.397485882,8.397485882,16.794971764,
11.084681364,11.084681364,17.466770634,
12.092379670000001,12.092379670000001,15.451374024,
8.061586442,8.061586442,9.405184188,
5.038491529,5.038491529,11.4205808,
7.725687011,7.725687011,10.076983058,
4.030793224,4.030793224,10.74878193,
11.420580795,11.420580795,22.16936272,
1.6794971719999996,1.6794971719999996,8.733385318,
8.733385318,8.733385318,10.74878193,
10.748781925,10.748781925,11.4205808,
11.756480236,11.756480236,21.49756386,
