,Bidder8969(Route 4),,
bid, cost, maxbid,,
9.405184188,9.405184188,9.405184188,
0.0,1.007698306,9.405184188,
4.030793224,4.030793224,10.74878193,
0.6717988699999999,0.6717988699999999,7.389787576,
1.007698305,1.007698305,9.405184188,
3.358994353,3.358994353,11.4205808,
1.679497177,1.679497177,6.717988706,
1.007698305,1.007698305,12.09237967,
2.351296047,2.351296047,8.061586446,
0.33589943600000005,0.33589943600000005,6.717988706,
3.694893788,3.694893788,9.405184188,
2.687195482,2.687195482,7.389787576,
Strategy,
Grab the bottom left cluster,
